,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
22,22,frozenset({1413}),frozenset({181230}),0.0012035398230088494,0.012513274336283187,0.0001946902654867257,0.16176470588235292,12.927448207005572,0.0001796300415067742,1.1780543393882936
23,23,frozenset({1413}),frozenset({181232}),0.0012035398230088494,0.03527433628318584,0.0003893805309734514,0.32352941176470584,9.171807207579471,0.0003469264625264312,1.4261161985378992
24,24,frozenset({2083}),frozenset({54141}),0.0009734513274336283,0.001398230088495575,0.00010619469026548672,0.10909090909090907,78.02071346375143,0.00010483358132978308,1.1208795376557703
25,25,frozenset({2083}),frozenset({65049}),0.0009734513274336283,0.006778761061946903,0.00010619469026548672,0.10909090909090907,16.093045335865177,9.959589631137913e-05,1.1148401661549576
26,26,frozenset({75937}),frozenset({2083}),0.0005663716814159293,0.0009734513274336283,8.849557522123894e-05,0.15625,160.51136363636363,8.794423995614379e-05,1.184031465093412
27,27,frozenset({2083}),frozenset({106829}),0.0009734513274336283,0.01352212389380531,0.000247787610619469,0.2545454545454545,18.824369347929554,0.00023462448116532222,1.323323980142456
28,28,frozenset({2083}),frozenset({114228}),0.0009734513274336283,0.0019469026548672567,0.00015929203539823012,0.16363636363636366,84.0495867768595,0.0001573968204244655,1.1933243555213542
29,29,frozenset({2083}),frozenset({181226}),0.0009734513274336283,0.007610619469026548,0.00023008849557522125,0.2363636363636364,31.05708245243129,0.0002226799279505052,1.2995575221238935
30,30,frozenset({2083}),frozenset({181227}),0.0009734513274336283,0.005946902654867256,0.00015929203539823012,0.16363636363636366,27.516233766233768,0.00015350301511473098,1.1885417468257022
31,31,frozenset({2083}),frozenset({181232}),0.0009734513274336283,0.03527433628318584,0.00014159292035398232,0.14545454545454545,4.123523240432423,0.00010725507087477484,1.1289342873281871
32,32,frozenset({2083}),frozenset({279127}),0.0009734513274336283,0.004035398230088496,0.0001238938053097345,0.12727272727272726,31.539074960127586,0.00011996554154593157,1.1412094395280237
33,33,frozenset({2275}),frozenset({39088}),0.00030088495575221236,0.0011327433628318586,8.849557522123894e-05,0.2941176470588235,259.65073529411757,8.815474978463466e-05,1.4150619469026549
34,34,frozenset({63819}),frozenset({2633}),0.0010442477876106194,0.00231858407079646,0.00010619469026548672,0.1016949152542373,43.860784060033644,0.00010377351397916829,1.1106264818834528
35,35,frozenset({2710}),frozenset({39421}),0.001486725663716814,0.010814159292035398,0.00015929203539823012,0.10714285714285716,9.90764554594342,0.00014321434724723941,1.1078881415929205
36,36,frozenset({2795}),frozenset({41297}),0.0013628318584070795,0.028690265486725663,0.00014159292035398232,0.10389610389610388,3.6213015855212034,0.00010249291252251546,1.0839253559061175
37,37,frozenset({2795}),frozenset({42641}),0.0013628318584070795,0.014389380530973453,0.00015929203539823012,0.11688311688311688,8.122873436526573,0.00013968172918787692,1.116059083810515
38,38,frozenset({2795}),frozenset({57733}),0.0013628318584070795,0.045929203539823014,0.00017699115044247788,0.12987012987012986,2.82761554437855,0.00011439736862714387,1.0964694227975171
39,39,frozenset({2795}),frozenset({62448}),0.0013628318584070795,0.02247787610619469,0.00023008849557522125,0.16883116883116886,7.510992944063811,0.00019945492990837185,1.1760813053097343
40,40,frozenset({2795}),frozenset({75632}),0.0013628318584070795,0.03463716814159292,0.0001946902654867257,0.14285714285714285,4.124388641506679,0.0001474856292583601,1.1262566371681415
41,41,frozenset({2795}),frozenset({81509}),0.0013628318584070795,0.04389380530973451,0.00017699115044247788,0.12987012987012986,2.9587348135735234,0.00011717127417965383,1.0988086118082157
